Genre,Espèce,Nom vernaculaire,Famille,Types de projet,Périodicité,Propriétés,Feuillage,Récolte,Floraison couleur,Floraison Couleur Normalisé,Floraison période,Saison de Floraison,Hauteur,Hauteur Normalisé,Plantation,Saison de Plantation,Exposition,Sol,Entretien,Multiplication,Commentaire
Asarina,scandens,Asarine,Scrofulariacées,Façades et murets,bisannuelle,grimpante annuelle et/ou bisannuelle,,,"violet,rose","rose,violet",été - automne,"été,automne",2 à 4 m,Plus de 80 cm,printemps,printemps,"soleil,mi-ombre","frais,bien drainé",à palisser,,
Asplenium,trichomanes,Capillaire des murailles,Aspleniacées,"Pieds d'arbres,Mobilier urbain",vivace,"fougère,vivace","persistant,semi-persistant",,,,,,10 à 20 cm,Moins de 50 cm,automne ou printemps,"printemps,automne",mi-ombre,"riche,drainé,alcalin",simple nettoyage,"semis, division au printemps",
Begonia,sp.,Bégonia,Bégoniacées,"Pieds d'arbres,Mobilier urbain",vivace,"annuelle,vivace",,,"rose,rouge,blanc","rose,rouge,blanc",,,20 à 40 cm,Moins de 50 cm,printemps,printemps,"soleil,mi-ombre,ombre","riche,bien drainé",supprimer les fleurs fanées,semis au printemps,
Bellis,perennis,Pâquerette,Astéracées,Pieds d'arbres,vivace,vivace,,,"blanche,rose,rouge","blanc,rose,rouge",mars à novembre,"été,automne,printemps",5 à 15 cm,Moins de 50 cm,"printemps, repiquage en septembre",printemps,"soleil,mi-ombre",tous,aucun,,
Briza,media,Amourette,Poacées,"Trottoirs,Mobilier urbain",vivace,"petite graminée,vivace",,,épis verts brun violacés en forme de coeur,"vert,violet",juin - juillet,été,30 à 40 cm,Moins de 50 cm,toute l'année,"printemps,été,automne,hiver",soleil,bien drainé,"tailler en février, sans taille, semis spontanés",,
Calendula,officinalis,Souci,Astéracées,Pieds d'arbres,annuelle,"annuelle,mellifère",,,"jaune,orange","jaune,orange",d'avril aux gelées,printemps,jusqu'à 70 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,"soleil,mi-ombre",tous,aucun,semis en place avril,
Campanula,muralis,Campanule des murailles,Campanulacées,"Pieds d'arbres,Mobilier urbain",vivace,"vivace,mellifère",,,bleue,bleu,mai juin,printemps,10 à 20 cm,Moins de 50 cm,printemps,printemps,"soleil,mi-ombre",tous,supprimer les fleurs fanées régulièrement pour favoriser la venue des nouvelles fleurs,,
Centaurea,sp.,Centaurée,Astéracées,Mobilier urbain,vivace,"vivace,mellifère",,,bleue,bleu,avril à aout,"printemps,été",40 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",Printemps,printemps,soleil,"tous,drainé",aucun,division,
Centranthus,ruber,Valériane rouge,Caprifoliacées,"Pieds d'arbres,Mobilier urbain",vivace,vivace,,,rouge,rouge,mai à septembre,"printemps,été",60 à 100 cm,"Entre 50 cm et 80 cm,Plus de 80 cm","printemps, automne","printemps,automne",soleil,tous,rabattre à l'automne après la floraison,division de la touffe en automne,
Ceratostigma,plumbaginoides,Ceratostigma,Plumbaginacées,"Pieds d'arbres,Mobilier urbain",vivace,"vivace rustique,port étalé,mellifère",,,,,aout à octobre,"été,automne",20 à 40 cm,Moins de 50 cm,printemps,printemps,"soleil,mi-ombre","tous,drainé",aucun,division,
Clematis,sp.,Clématite,Renonculacées,Façades et murets,vivace,"vivace,grimpante à vrilles",,,"blanc,rose,violet","violet,rose,blanc",,,7 à 20 m (en tous sens),Plus de 80 cm,printemps - automne,"printemps,été,automne","soleil,mi-ombre","riche limoneux à tendance calcaire,riche",tailler les tiges gênantes,,
Cobaea,scandens,Cobée,Polémoniacées,Façades et murets,annuelle,"grimpante,tige volubile,annuelle",,,,,avril - octobre,"printemps,été,automne",jusqu'à 3 m,Plus de 80 cm,février - avril : semis sous abris printemps : mise en place,printemps,soleil,"bien drainé,riche","à palisser,
un arrosage régulier est indispensable en période de sécheresse",,
Coriandrum,sativum,Coriandre,Apiacées,Mobilier urbain,annuelle,annuelle,,,blanche,blanc,,,50 à 80 cm,Entre 50 cm et 80 cm,"Printemps, été","printemps,été",soleil,"riche,léger",,,
Coronilla,minima,Coronille minime,Fabacées,Pieds d'arbres,vivace,"vivace,mellifère",,,jaune,jaune,printemps,printemps,10 à 20 cm,Moins de 50 cm,printemps,printemps,soleil,"léger,bien drainé","facile, résiste bien à la sécheresse",semis printemps,
Cosmos,bipinnatus,Cosmos,Astéracées,"Pieds d'arbres,Mobilier urbain",annuelle,"annuelle,mellifère",,,"blanche,rose","blanc,rose",mai à octobre,"printemps,été,automne",20 à 150 cm,"Moins de 50 cm,Entre 50 cm et 80 cm,Plus de 80 cm",avril,printemps,soleil,bien drainé,tuteurer si grande variété,semis à partir d'avril sous abri (température idéale 23-24 degrés C),
Cosmos,sulphureus,Cosmos,Astéracées,"Pieds d'arbres,Mobilier urbain",annuelle,"mellifère,annuelle",,,"blanche,rose","blanc,rose",mai à octobre,"printemps,été,automne",20 à 150 cm,"Moins de 50 cm,Entre 50 cm et 80 cm,Plus de 80 cm",avril,printemps,soleil,bien drainé,tuteurer si grande variété,semis à partir d'avril sous abri (température idéale 23-24 degrés C),
Cucurbita,maxima,Courge,Cucurbitacées,Façades et murets,,"légume,grimpante à vrilles",,,"jaune,orange,rouge","rouge,orange,jaune",mai aux gelées,"printemps,été,automne",20 à 50 cm,Moins de 50 cm,printemps,printemps,soleil,"bien drainé,riche","une fois les plants bien développés, pailler le pied afin de conserver la fraicheur et l'humdiité dans le sol","mars : semis sous abri
mail : semis pleine terre",
Dianthus,barbatus,Oeillet de poète,Caryophyllacées,Mobilier urbain,vivace,"vivace,mellifère",,,"rose,rouge,blanche,bicolore","blanc,rouge,rose",juin aux gelées,"été,automne",20 à 80 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps - automne,"printemps,été,automne","soleil,mi-ombre",tous,"supprimer les fleurs fannées
en fin de saison tailler le feuillage à 15 cm du sol",,
Dipladenia,sanderi,Dipladenia de Sander,Apocynacées,Façades et murets,annuelle,"grimpante,annuelle",,,rouge,rouge,juin à octobre,"été,automne",3 m,Plus de 80 cm,printemps,printemps,soleil,bien drainé,à palisser,,
Echeveria,sp.,Echeveria,Crassulacées,Pieds d'arbres,vivace,"plante succulente,vivace",,,"rouge,orange","rouge,orange",printemps,printemps,10 à 30 cm,Moins de 50 cm,printemps,printemps,soleil,bien drainé,supprimer les fleurs fanées,division,
Erysimum,cheiri,Giroflée,Brasssicacées,"Mobilier urbain,Pieds d'arbres",annuelle,"annuelle,bisanuelle,mellifère",,,"jaune,orange","jaune,orange",avril à octobre selon les variétés,"automne,été,printemps",20 à 40 cm,Moins de 50 cm,printemps ou à l'automne,"printemps,automne","soleil,mi-ombre",bien drainé,aucun,,
Felicia,amelloides,Marguerite du Cap,Astéracées,Pieds d'arbres,annuelle,annuelle,,,bleue,bleu,mai - octobre,"printemps,été,automne",60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,soleil,neutre,éliminer les fleurs fanées,semis au chaud au printemps,
Festuca,glauca,Fétuque,Poacées,Pieds d'arbres,vivace,"vivace,petite graminée",,,bleue,bleu,,,15 à 30 cm,Moins de 50 cm,printemps,printemps,soleil,tous,"enlever les feuilles jaunies au début du printemps, éliminer les épis fanés",,
Gazania,splendens,Gazanie,Astéracées,Pieds d'arbres,annuelle,annuelle,,,"orange,jaune,rouge,brun,rose","rose,rouge,brun,jaune,orange",Juin à octobre,"été,automne",30 cm,Moins de 50 cm,printemps,printemps,soleil,bien drainé,supprimer les fleurs fanées,semis au printemps,
Hedera,helix,Lierre,Araliacées,Façades et murets,vivace,"grimpante à crampons,vivace",,,"blanc,jaune","blanc,jaune",juillet aout,été,3 à 5 m,Plus de 80 cm,automne,automne,ombre,bien drainé,tailler pour contenir la plante,,
Helichrysum,italicum,Herbe à curry,Astéracées,"Pieds d'arbres,Mobilier urbain",vivace,"vivace,mellifère",,,jaune,jaune,juillet - août,été,30 à 60 cm,"Moins de 50 cm,Plus de 80 cm",printemps - automne,"printemps,été,automne",soleil,"normal,apport de sable à la plantation",,,
Humulus ,lupulus,Houblon,Cannabacées,Façades et murets,vivace,"grimpante,vivace,tige volubile",,,vert,vert,,,jusqu'à 10m,Plus de 80 cm,printemps,printemps,mi-ombre,"riche en humus,bien drainé",tailler les tiges gênantes,,
Hyssopus,officinalis,Hysope,Lamiacées,Mobilier urbain,vivace,"vivace,mellifère",,,bleue,bleu,,,30 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,soleil,"neutre,drainé",tailler en fin d'hiver pour étoffer la touffe,,
Impatiens,sp.,Impatience,Balsaminacées,Pieds d'arbres,annuelle,annuelle,,,"blanc,rose,rouge,violet,jaune","jaune,violet,rouge,rose,blanc",,,20 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,"mi-ombre,ombre","frais,acide",rabattre au printemps,bouturage,
Impatiens,sp.,Impatience,Balsaminacées,Mobilier urbain,vivace,vivace,,,"rose,rouge","rouge,rose",,,20 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,"soleil,mi-ombre,ombre","frais,acide",rabattre au printemps,bouturage,
Ipomaea,sp.,Ipomée,Convolvulacées,Façades et murets,annuelle,"grimpante,annuelle,mellifère",,,"blanche,rose,rouge,violet,bleue","bleu,violet,rouge,rose,blanc",juin à octobre,"été,automne",3 à 10 m voir plus,Plus de 80 cm,printemps,printemps,"soleil,mi-ombre",drainé,à palisser,semis au printemps,une fois implanté supporte bien la sécheresse
Jasminum,nudiflorum,Jasmin d'Hiver,Oléacées,Façades et murets,vivace,"vivace,grimpante sarmenteuse",,,jaune,jaune,décembre à avril,"hiver,printemps",4 à 5 m,Plus de 80 cm,"automne, printemps","printemps,automne","mi-ombre,ombre,soleil",bien drainé,"à palisser, tailler si besoin après floraison",,
Jasminum,officinalis,Jasmin officinal,Oléacées,Façades et murets,vivace,"vivace,mellifère,grimpante sarmenteuse",,,blanche,blanc,juin à septembre,été,jusqu'à 10m,Plus de 80 cm,"printemps, automne","printemps,automne",mi-ombre,"tous,bien drainé,fertile",pailler le pied,,
Lamium,purpureum,Lamier pourpre,Lamiacéees,Pieds d'arbres,annuelle,annuelle,,,rouge,rouge,mars - décembre,"printemps,été,automne",10 à 20 cm,Moins de 50 cm,printemps,printemps,"soleil,mi-ombre,ombre","bien drainé,tous",aucun,"semis au printemps, tiges traçantes",
Lathyrus,odoratus,Pois de senteur,Fabacées,Façades et murets,vivace,"grimpante à vrilles,annuelle,vivace,mellifère",,,"rouge,rose,blanche,bleue","blanc,bleu,rose,rouge",mai à octobre,"printemps,été,automne",1 à 5 m,Plus de 80 cm,Printemps. Semis en place au printemps. ,,,,,,Tremper les graines dans l'eau 12h avant de semer
Lippia,citriodora,Verveine citronelle,Verbenacées,Mobilier urbain,vivace,"vivace,mellifère",,,"mauve,blanc","violet,blanc",,,jusque 1 m,"Plus de 80 cm,Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,soleil,"léger,neutre,bien drainé",tailler des tiges en février pour étoffer la touffe,,
Lobularia,maritima,Alysse odorant,Brassicacées,Trottoirs,annuelle,"annuelle,mellifère",,,"blanche,mauve,violette",jaune,,,10 à 30 cm,Moins de 50 cm,printemps - automne,"printemps,été,automne",soleil,tous,supprimer les fleurs fanées,semis au printemps,
Lonicera,sempervirens,Chèvrefeuille,Caprifoliacées,Façades et murets,vivace,"vivace,grimpant",,,"blanc,rose,jaune","jaune,rose,blanc",,,3 à 6 m,Plus de 80 cm,"printemps, 
bouturage été","printemps,été",mi-ombre,tous,"- tailler à la fin de la floraison
- rebattre sévèrement le pied s'il à tendance à se dégarner : dans ce cas, le rabattage s'effectue à la fin de l'hiver",,
Luzula,nivea,Luzule nivale,Juncacées,"Pieds d'arbres,Mobilier urbain",vivace,"vivace,feuillage persistant",persistant,,blanches,blanc,juin - août,été,45 à 50 cm,Moins de 50 cm,"printemps, automne","printemps,automne","mi-ombre,ombre,soleil",léger,couper les parties sèches et nettoyer les touffes en fin d'hiver,semis au printemps,soleil si sol humide
Mentha,sp.,Menthe,Labiacées,Mobilier urbain,vivace,"vivace,mellifère",,,,,été,été,40 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,"soleil,mi-ombre",frais,couper les touffes après floraison à 10 cm du sol,"division de touffe, bouturage",
Mentha,piperita,Menthe poivrée,Labiacées,Mobilier urbain,vivace,"vivace,mellifère",,,,,été,été,40 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,"soleil,mi-ombre",frais,couper les touffes après floraison à 10 cm du sol,"division de touffe, bouturage",
Muscari,armeniacum,Muscari,Asparagacées,"Mobilier urbain,Pieds d'arbres",vivace,"bulble vivace,mellifère",,,bleue,bleu,mars - mai,printemps,20 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",automne,automne,"soleil,mi-ombre",tous,couper le feuillage lorsqu'il est totalement fané,"semis automne, division des bulbes",
Myosotis,sp.,Myosotis,Borraginacées,"Mobilier urbain,Pieds d'arbres",vivace,"bisanuelle,vivace à feuillage persistant,mellifère",persistant,,"bleue,rose,blanche","blanc,rose,bleu",mars - juin,printemps,20 à 30 cm,Moins de 50 cm,automne - printemps semi pleine terre en place aoûtse ressème seul,"printemps,été,automne","soleil,mi-ombre",tous,aucun,,
Nigella,damascena,Nigelle de Damas,Renonculacées,Pieds d'arbres,annuelle,"annuelle,mellifère",,,"bleue,rose,blanc","blanc,rose,bleu",juin à juillet,été,20 à 40 cm,Moins de 50 cm,"semis printemps, automne (se ressème spontanément d'une année à l'autre)","printemps,automne",soleil,bien drainé,aucun,,
Ocimum,basilicum,Basilic,Lamiacées,Mobilier urbain,annuelle,annuelle,,,blanche,blanc,,,20 à 40 cm,Moins de 50 cm,Mai,printemps,soleil,"léger,bien drainé",,,
Origanum,vulgare,Origan,Labiacées,Mobilier urbain,vivace,"vivace,mellifère",,,,,juillet - septembre,été,30 à 80 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps - automne,"printemps,été,automne",soleil,bien drainé,couper les touffes en octobre / novembre ,"division de touffe au printemps, autome
semis au printemps
bouturage en mai",
Passiflora,incarnata,Passiflore,Passifloracées,Façades et murets,vivace,"grimpante à vrilles,vivace",,,,,mai à octobre,"printemps,été,automne",5 à 10 m,Plus de 80 cm,"printemps, automne","printemps,automne",soleil,"ordinaire,bien drainé","à palisser, tailler après la floraison pour contenir la plante",,
Pelargonium,sp.,Géranium,Géraniacées,"Mobilier urbain,Pieds d'arbres",vivace,"vivace,annuelle,mellifère",,,,,différente selon les variétés,,différent selon les variétés,"Moins de 50 cm,Entre 50 cm et 80 cm,Plus de 80 cm","printemps, automne","printemps,automne","soleil,mi-ombre,ombre",tous,aucun,"semis, bouture",
Petroselinum,sp.,Persil,Aspiacées,Mobilier urbain,,bisanuelle,,,,,mars à novembre,"automne,printemps,été",15 à 30 cm,Moins de 50 cm,avril à juillet,"printemps,été","soleil,mi-ombre",tous,,"semis avril à juillet, faire tremper les graines dans l'eau 24 heures avant de semer",
Pisum,sativum,Pois à rame,Fabacées,Façades et murets,annuelle,"annuelle,à vrilles",,"mai à aout, 3 mois après le semis",,,,,50 à 250 cm,"Entre 50 cm et 80 cm,Plus de 80 cm",semis en place de février à avril,printemps,"soleil,mi-ombre","riche,tous",à palisser,,
Primula,sp.,Primevère,Primulacées,Pieds d'arbres,vivace,"vivace,cultivée comme bisannuelle",,,"bleue,jaune,blanche,rose","bleu,jaune,blanc,rose",février à mars,printemps,10 à 20 cm,Moins de 50 cm,automne,automne,"soleil,mi-ombre",bien drainé,aucun,,
Rosa,canina,Églantier,Rosacées,Façades et murets,vivace,"arbuste sarmenteux,vivace",,,rose pâle,rose,avril à juin,printemps,1 à 3 m,Plus de 80 cm,,,soleil,tous,tailler au printemps si besoin,,
Salvia,officinalis,Sauge officinale,Lamiacées,Mobilier urbain,vivace,"vivace,mellifère",,,bleue,bleu,,,60 cm,Entre 50 cm et 80 cm,printemps,printemps,soleil,"neutre,drainé",tailler en fin d'hiver pour étoffer la touffe,,
Santolina,chamaecyparissus,Santoline argentée,Astéracées,Mobilier urbain,vivace,sous arbrisseau vivace,,,jaune,jaune,estivale,été,50 à 60 cm,Entre 50 cm et 80 cm,"printemps, automne","printemps,automne",soleil,tous,tailler après la floraison,,
Saxifraga,sp.,Saxifrage,Saxifragacées,Pieds d'arbres,vivace,vivace,,,"blanche,rose","rose,blanc","mai, juin",printemps,10 à 15 cm,Moins de 50 cm,"printemps, automne","printemps,automne","soleil,mi-ombre",tous,aucun,"division en touffe en mai, semis sous abri en pot, à l'automne",
Sedum,sp.,Sédum,Crassulacées,"Mobilier urbain,Pieds d'arbres",vivace,vivace succulente,,,"blanc,jaune,rose,rouge","rouge,rose,jaune,blanc",juillet à octobre,"été,automne",10 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,soleil,"bien drainé,tous",enlever les fleurs fanées,,
Sempervivum ,sp.,Joubarbe,Crassulacées,Pieds d'arbres,vivace,"plante succulente,vivace",,,"rouge,rose,jaune pâle,blanc","blanc,jaune,rose,rouge",,,5 à 20 cm,Moins de 50 cm,printemps,printemps,soleil,"rocailleux,léger",supprimer les fleurs fanées,division,
Solanum,jasminoides,Solanum grimpant,Solanacées,Façades et murets,vivace,"grimpante sarmenteuse,vivace",,,,,juillet à novembre,"été,automne",5 m,Plus de 80 cm,Printemps,printemps,soleil,bien drainé,"à palisser, tailler en été et au printemps si besoin, protéger le pied avec des feuilles",,
Tagetes,patula,Oeillet d'Inde,Astéracées,Pieds d'arbres,annuelle,annuelle,,,"jaune,orange,brun,bicolore","jaune,brun,orange",juin aux gelées,été,20 à 80 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",printemps,printemps,soleil,tous,éliminer les fleurs fanées,,
Thunbergia,alata,Suzanne aux yeux noirs,Acanthacées,Façades et murets,annuelle,"annuelle,grimpante",,,"jaune,orange","jaune,orange",été,été,"jusqu'à 2,5 m",Plus de 80 cm,Printemps,printemps,soleil,"neutre,riche",aucun,semis en avril à 18 degrés C,
Thymus,serpyllum,Serpolet,Lamiacées,Mobilier urbain,vivace,"vivace,mellifère",,,,,printemps,printemps,15 cm,Moins de 50 cm,"printemps, fin d'été","printemps,été",soleil,"léger,bien drainé",supprimer les branches mortes au début du printemps,"division de touffe au début du printemps, semis",
Trigonella,foenum-graecum,Fénugrec,Fabacées,Mobilier urbain,annuelle,annuelle,,,blanche,blanc,printemps,printemps,30 à 60 cm,"Moins de 50 cm,Entre 50 cm et 80 cm",Printemps,printemps,soleil,léger,,"semis d'avril à juin, faire tremper les graines dans l'eau 24h avant de semer",
Tropaeolum,sp.,Capucine grimpante,Tropaeolacées,Façades et murets,annuelle,"grimpante,cultivée comme annuelle,mellifère",,,,,mai - octobre (selon variétés),"printemps,été,automne",3 à 6 m,Plus de 80 cm,semis au mois de mai,printemps,"soleil,mi-ombre",tous,à palisser,,
Tropaeolum,majus,Grande capucine,Tropaeolacées,"Pieds d'arbres,Mobilier urbain",annuelle,"annuelle,mellifère",,,"jaune,orange","jaune,orange",juin à octobre,"été,automne",30 à 40 cm,Moins de 50 cm,"semis après les gelées, mai. Sous abri, mars avril, repiquer en mai.","printemps,été",soleil,tous,supprimer les fleurs fanées régulièrement pour favoriser la venue des nouvelles fleurs,semis,
Thymus,vulgaris,Thym commun,Lamiacées,Mobilier urbain,vivace,"vivace,mellifère",,,,,printemps,printemps,20 à 40 cm,Moins de 50 cm,printemps,printemps,soleil,"léger,bien drainé",supprimer les branches mortes au début du printemps,"division de touffe au début du printemps, semis",
Vinca,minor,Pervenche,Apocynacées,"Mobilier urbain,Pieds d'arbres",vivace,"vivace,couvre sol",,,bleue,bleu,,,20 à 30 cm,Moins de 50 cm,"automne, début du printemps","automne,printemps","soleil,mi-ombre,ombre","frais,léger",limiter le développement,division au printemps,
Viola,sp.,Pensée,Violacées,Pieds d'arbres,vivace,"vivace,cultivée comme bisannuelle,mellifère",,,"blanche,jaune,bleue,violette","blanc,jaune,bleu,violet",printemps été,"été,printemps",15 à 25 cm,Moins de 50 cm,printemps automne,"printemps,automne","soleil,mi-ombre","tous,drainé",,semis au printemps,
Vitis,coignetiae,Vigne de Coignet,Vitacée,Façades et murets,vivace,"grimpante à vrilles,vivace",,,,,mai à juin,printemps,9 à 12 m,Plus de 80 cm,"Printemps, automne","printemps,automne",soleil,tous,"à palisser, tailler de février à mars pour contenir la végétation",,
